Material Entity,Social Relation,Sentence
cup,bride,"He then puts some pepper-corns with the seed, and forms his hands into a cup over those of the bride."
cup,barber,"A barber comes with a cup of water, and a tray containing rice dyed with turmeric is placed on the floor."
cup,barber,"A number of men and women then scatter rice over the heads of the bride and bridegroom, and, after, waving a silver or copper coin in front of them, throw it into the barber’s cup."
cup,bridegroom,"A number of men and women then scatter rice over the heads of the bride and bridegroom, and, after, waving a silver or copper coin in front of them, throw it into the barber’s cup."
cup,bridegroom,"The bride’s sister brings some rice and milk in a cup, into which the linked fingers of the bride and bridegroom are thrust."
cup,bride,"The bride’s sister brings some rice and milk in a cup, into which the linked fingers of the bride and bridegroom are thrust."
cup,mother,"Should it so happen that the husband, after the tying on of the tāli in the first instance, dislikes the object of his former choice, then the people of their tribe are assembled; she is conducted back to her mother’s house; sheep, oxen, eating-plate, with brass cup, jewels, ornaments, and whatever else she may have brought with her from her mother’s house, are returned; and the tāli, which was put on, is broken off and taken away."
cup,goddess,"The Mādigas bring a bent iron rod with a cup at one end, and twigs of Vitex Negundo to represent the goddess, to whom goats are sacrificed."
cup,father,"The father brought him some of the blood in a leaf cup, which he greedily drank, and was at once quiet."
cup,goddess,"Then, placing water in a vessel near the cup, the sorcerer or sorceress throws into it a grain of rice, giving out at the same time the name of some god or goddess."
cup,bridegroom,"The bridegroom’s party go to the temple or house where the bride is awaiting them, bringing with them a brass lamp, vessel and cup, castor and gingelly oil, combs, confectionery, turmeric, and betel leaves."
cup,bride,"A number of men and women then scatter rice over the heads of the bride and bridegroom, and, after, waving a silver or copper coin in front of them, throw it into the barber’s cup."
curds,virgin,"Some of the festivals kept by the Nambūtiris are as follows: — The following festivals are referred to by Mr. Subramani Aiyar:— The Nambūtiri’s business, which he has in hand, will be concluded to his satisfaction, should he on starting hear or see vocal or instrumental music, a harlot, a dancing-girl, a virgin, a litter, an elephant, a horse, a bull or cow tethered, curds, raw rice of a reddish colour, sugar-cane, a water-pot, flowers, fruits, honey, or two Brāhmans."
curds,bridegroom,"Approaching the bridegroom, she strikes him gently, and says “Did not I give you buttermilk and curds?"
curds,chief,"“The chief ceremonies connected with pregnancy are Pumsavanam or rite to secure male offspring, at which the husband puts a grain of barley and two beans, to represent the male organ, into his wife’s hand, and pours some curds over them, which the wife then swallows, and also pours some juice of karuga grass into her right nostril; and Sīmantham, a ceremony usually performed in the fourth month of pregnancy, at which the husband parts the wife’s hair four times from back to front with a sprig of atti (Ficus glomerata), a porcupine quill which must have three white marks on it, and three blades of darba grass, all tied together, after which mantrams are sung to the accompaniment of vīnas."
curds,bridegroom,"They then play seven times with cowry shells, and the ceremonial closes with the throwing of Zizyphus leaves, and the eating by the bride and bridegroom of rice mixed with jaggery (crude sugar) and curds."
curds,bridegroom,"At the betrothal ceremony, the future bridegroom’s relations proceed to the house of the girl, carrying the following articles on an odd number of trays beneath a cloth canopy (ulladam): mustard, fenugreek (Trigonella Fœnumgræcum), cummin seeds, curds, jaggery, dhāl (Cajanus indicus), balls of condiments, tamarinds, pepper, twenty-one cakes, eleven cocoanuts, salt, plantains, flowers, a new cloth, black beads, a palm-leaf roll for the ear lobe, turmeric, a comb, and kunkumam (colour powder)."
curds,convert,"On the third or last day, they take a panchamrutham bath, i.e., they apply to the head and body a paste made of plantains, cow’s milk, ghī (clarified butter), curds and honey, and wash it off with water; they drink the water (thirtham) in which a Jangam’s feet have been washed; the lingam is tied on by the Jangam, and the convert eats with other Lingāyats."
curds,offspring,"“The chief ceremonies connected with pregnancy are Pumsavanam or rite to secure male offspring, at which the husband puts a grain of barley and two beans, to represent the male organ, into his wife’s hand, and pours some curds over them, which the wife then swallows, and also pours some juice of karuga grass into her right nostril; and Sīmantham, a ceremony usually performed in the fourth month of pregnancy, at which the husband parts the wife’s hair four times from back to front with a sprig of atti (Ficus glomerata), a porcupine quill which must have three white marks on it, and three blades of darba grass, all tied together, after which mantrams are sung to the accompaniment of vīnas."
curds,husband,"“The chief ceremonies connected with pregnancy are Pumsavanam or rite to secure male offspring, at which the husband puts a grain of barley and two beans, to represent the male organ, into his wife’s hand, and pours some curds over them, which the wife then swallows, and also pours some juice of karuga grass into her right nostril; and Sīmantham, a ceremony usually performed in the fourth month of pregnancy, at which the husband parts the wife’s hair four times from back to front with a sprig of atti (Ficus glomerata), a porcupine quill which must have three white marks on it, and three blades of darba grass, all tied together, after which mantrams are sung to the accompaniment of vīnas."
curds,bride,"They then play seven times with cowry shells, and the ceremonial closes with the throwing of Zizyphus leaves, and the eating by the bride and bridegroom of rice mixed with jaggery (crude sugar) and curds."
curds,potter,"On the appointed evening, rice is brought, and poured out in front of the idol by the potter, and rice, ghī (clarified butter), and curds are poured on the top of it."
curds,bride,"On the following day, the bride’s relatives purchase some good curds, a number of plantains, sugar and pepper, which are mixed together."
curds,wife,"“The chief ceremonies connected with pregnancy are Pumsavanam or rite to secure male offspring, at which the husband puts a grain of barley and two beans, to represent the male organ, into his wife’s hand, and pours some curds over them, which the wife then swallows, and also pours some juice of karuga grass into her right nostril; and Sīmantham, a ceremony usually performed in the fourth month of pregnancy, at which the husband parts the wife’s hair four times from back to front with a sprig of atti (Ficus glomerata), a porcupine quill which must have three white marks on it, and three blades of darba grass, all tied together, after which mantrams are sung to the accompaniment of vīnas."
curry,nomad,"As regards names for specific occupations among the Koravas, the Bīdar or nomad Koravas originally carried merchandise in the form of salt, tamarinds, jaggery (crude sugar or molasses), leaves of the curry leaf plant (Murraya Kœnigii) from place to place on pack-bullocks or donkeys."
curry,bridegroom,"Three measures of raw rice, ten or twelve pappadams, plantains, a cocoanut, and some dry uncooked curry-stuff are given by the bridegroom to each of the Nāyars provided as escort on the eve of the marriage."
curry,bridegroom,"Cooked rice is heaped up on a leaf before the bridegroom, and five piles of fish curry are placed thereon."
curry,chief,"At night, boiled rice, or kanji with fish or curry made of vegetables from their kitchen garden, form their chief food."
curry,child,"The Karnavan then, after an oblation to Ganapathi, gives the child some of the curry, and whispers its name in its right ear three times."
curry,king,"Once, goes the story, a Brinjāri caught one and turned it into curry, whereon the king of the fish solemnly cursed him, and he and all his pack-bullocks were turned into rocks, which may be seen there till this day."
curry,bridegroom,"This ceremony concluded, the young boy takes a small quantity of the curry and rice, and puts it in the mouth of the bridegroom seven times."
curry,pūjāri,"They bring a sheep with rice, curry-stuffs and liquors, and, after the sacrifice, give a considerable share of these dainties, together with the animal’s head, to the pūjāri, as well as a sum of money for making the pūja (worship) for them."
curry,king,"“Once, goes the story, a Brinjāri caught one and turned it into curry, whereon the king of the fish solemnly cursed him, and he and all his pack-bullocks were turned into rocks, which may be seen there to this day.”32"
curry,father,"The guests were hospitably received, and the prospective bride asked her father what kind of curry was going to be served to them."
curry,bride,"The guests were hospitably received, and the prospective bride asked her father what kind of curry was going to be served to them."
curry,matron,"(6) If a matron is chaste, she may live in the dancing-girl’s street, The insigne of courtesans, according to the Conjeeveram records, is a Cupid, that of a Christian, a curry-comb.41"
dagger,bridegroom,"Another custom, now dying out, is the tying of a dagger to the waist of the bridegroom."
dagger,bridegroom,"The defendant’s argument was that the dagger was used to represent the Zamindar bridegroom as he did not attend in person, and that, by his non-attendance, there could have been no joining of hands, or other essential for constituting a valid marriage."
dagger,bridegroom,"Meanwhile, the Brāhman ties a mandaikettu on the forehead of the bridegroom, who puts on the sacred thread, and sits within the pandal, holding a katar (dagger) in his hand, and closed in by a screen."
dagger,bridegroom,"A dagger (bāku) is then given to the bridegroom, who keeps it with him till the conclusion of the ceremonies."
dagger,mother,"XVII, 1894, the Judge found that the plaintiff’s mother was married to the plaintiff’s father in the dagger form; that a dagger is used by the Saptūr Zamindars, who are called Kattari Kamaya, in the case of inequality in the caste or social position of the bride; that, though the customary rites of the Kambala caste were also performed, yet the use of the dagger was an essential addition; and that, though she was of a different and inferior caste to that of the plaintiff’s father, yet that did not invalidate the marriage."
dagger,bridegroom,"The bridegroom, if he belongs to either of the superior gōtras, carries a dagger or sword placed in his cummerbund (loin-band)."
dagger,priest,"The officiating priest then weds the girl to the dagger, just as if he was uniting her to a boy in marriage, by reciting the marriage stanzas, a curtain being held between the girl and the dagger.”"
dagger,bridegroom,"During the marriage ceremony, the bridegroom carries a dagger (katar) with a lime stuck on its tip, and partly covered with a cloth, when he proceeds to the bride’s house with a bamboo, new clothes, the tāli (marriage badge), jewels, wrist-thread (kankanam), fruits, cocoanuts, rice, and a new mat, camphor, etc."
dagger,father,"XVII, 1894, the Judge found that the plaintiff’s mother was married to the plaintiff’s father in the dagger form; that a dagger is used by the Saptūr Zamindars, who are called Kattari Kamaya, in the case of inequality in the caste or social position of the bride; that, though the customary rites of the Kambala caste were also performed, yet the use of the dagger was an essential addition; and that, though she was of a different and inferior caste to that of the plaintiff’s father, yet that did not invalidate the marriage."
dagger,bride,"During the marriage ceremony, the bridegroom carries a dagger (katar) with a lime stuck on its tip, and partly covered with a cloth, when he proceeds to the bride’s house with a bamboo, new clothes, the tāli (marriage badge), jewels, wrist-thread (kankanam), fruits, cocoanuts, rice, and a new mat, camphor, etc."
dagger,bride,"XVII, 1894, the Judge found that the plaintiff’s mother was married to the plaintiff’s father in the dagger form; that a dagger is used by the Saptūr Zamindars, who are called Kattari Kamaya, in the case of inequality in the caste or social position of the bride; that, though the customary rites of the Kambala caste were also performed, yet the use of the dagger was an essential addition; and that, though she was of a different and inferior caste to that of the plaintiff’s father, yet that did not invalidate the marriage."
dairy,assistant,"“The ti is the name of an institution, which comprises a herd of buffaloes, with a number of dairies and grazing districts, tended by a dairy-man priest called palol, with an assistant called kaltmokh."
dairy,priest,The outer apartment forms the dwelling place of the dairy priest.
dairy,priest,"“The ti is the name of an institution, which comprises a herd of buffaloes, with a number of dairies and grazing districts, tended by a dairy-man priest called palol, with an assistant called kaltmokh."
dairy,celibate,"The dairy pūjāri is here, like the Toda palol, a celibate."
dairy,pūjāri,"The dairy pūjāri is here, like the Toda palol, a celibate."
dairy,assistant,"A fire-stick, which was in current use in a dairy, was polluted and rendered useless by the touch of my Brāhman assistant!"
dairy,palol,"The punir correspond in some respects to the putiir of the ordinary village dairy, and their milk and its products are largely for the personal use and profit of the palol, and are not treated with any special ceremony."
dairy,palol,"The dairy pūjāri is here, like the Toda palol, a celibate."
dairy,palol,"“There are,” Dr. Rivers writes, “several regulations concerning the food of the palol (dairy man of a Toda sacred dairy)."
dairy,palol,"In order that this ceremony may take place, it is essential that there should be a palol (dairy man) at the kwòdrdoni ti, and at the present time it is only occupied every year shortly before and during the ceremony."
dairy,planter,"Some of them are splendid cattle-men, that is, in looking after the cattle possessed by some enterprising planter, who would add the sale of dairy produce to the nowadays pitiable profit of coffee planting."
dairy,palol,"“The ti is the name of an institution, which comprises a herd of buffaloes, with a number of dairies and grazing districts, tended by a dairy-man priest called palol, with an assistant called kaltmokh."
dead,priest,"As they are being borne thither, the priest asks the man who carries them what has become of the dead person, and he is expected to reply that he has gone to Kāsī (Benares) or Jagannātham."
dead,priest,"The chief mourner is either the son or nephew of the dead person, and he performs the death ceremonies as directed by the priest (Chithayan), who attends wearing a new cloth, turban, and the sacred thread."
dead,widow,"They wear the sacred thread of the Kshatriyas, belong to the orthodox Brāhmanical gōtras, have Brāhmans as their purōhits, observe many of the Brāhmanical ceremonies, burn their dead, forbid widow re-marriage, and keep their womankind gosha."
dead,child,"After the child was born, it was tied to a branch of a dead chilla tree (Strychnos potatorum), which at once burst into leaf and flower."
dead,widow,"This revolting ceremony concluded, and a last salutation given by the widow to her dead husband, arches of bamboo were attached to the cot, which was covered over with a coloured table-cloth hiding the corpse from sight."
dead,husband,"A young woman’s husband was dead, and his younger brother was almost of an age to take her to wife."
dead,priest,"The wild elephants found the body, and reverently took it where friends might discover it, and, a plague of small-pox having attacked the Chōgans, another oracle declared it was sent by Sāstāvu (the Travancore hill boundary god, called also Chāttan or Sāttan) in anger at the crime that had been committed; and that the evil would not abate until the murderers made an image of the dead priest, and worshipped it."
dead,pūjāri,"If a pūjāri, or Koi priest, is present, he not unfrequently claims a cloth or two belonging to the dead person."
dead,pūjāri,"Some families of Kuruba Dāsaris reverence a goddess called Hombālamma, who is worshipped secretly by a pūjāri (priest) at dead of night."
dead,heir,"Thereupon, the spirit of the dead is redeemed by the heir or relative by means of a pig, fowl, or other guerdon."
dead,nephew,"On the eighth day, a pot of water is placed in the dead man’s house for him to drink, and is watched by his nephew."
dead,nephew,"Among the Ullādans, the nephew is the chief mourner, for he usually succeeds to the property of the dead, and proves his right of ownership by acting as the chief mourner."
dead,cousin,"Widow remarriage is permitted among the Udayas, and a widow may marry a cousin, but not her dead husband’s brother."
dead,daughter,"Amid much joking, and speech-making by the veterans, it was decided that, as the eldest son of the deceased woman was dead, leaving a widow, this daughter-in-law should be united to the second son, and that they should live together as man and wife."
dead,widow,"Supported by females, the exhausted widow of the dead man was dragged up to the corpse, and, lying back beside it, had to submit to the ordeal of removal of all her jewellery, the heavy brass bangle being hammered off the wrist, supported on a wooden roller, by oft-repeated blows with mallet and chisel delivered by a village blacksmith assisted by a besotten individual noted as a consumer of twelve grains of opium daily."
dead,father,"Lastly, Mr. Wigram writes as follows.79 “Polyandry may now be said to be dead, and, although the issue of a Nāyar marriage are still children of their mother rather than of their father, marriage may be defined as a contract based on mutual consent, and dissoluble at will."
dead,priest,"The Saivites perform the first ceremony for the dead on the third day, and they have neither Nambi nor priest, but perform the whole ceremony themselves."
dead,priest,"Some families of Kuruba Dāsaris reverence a goddess called Hombālamma, who is worshipped secretly by a pūjāri (priest) at dead of night."
dead,father,"Siva, the destroyer, he of the bright blue neck, the dweller, as Kāma tauntingly says, among graves and dead men’s ashes; Siva, mighty in penance, is father of Rathi."
dead,priest,"If a pūjāri, or Koi priest, is present, he not unfrequently claims a cloth or two belonging to the dead person."
dead,priest,"Concerning a form of marriage between the living and the dead, performed by members of this caste if a man and woman have been living together, and the man dies, Mr. Hutchinson writes as follows.146 “The sad intelligence of her man’s death is communicated to her neighbours, a guru or priest is summoned, and the ceremony takes place."
dead,priest,"A cocoanut is broken and camphor burnt, and the priest says “Lingannah (or whatever the name of the dead man may be), leaving Nara Loka, you have gone to Bhu Loka,” which is a little incongruous, for Nara Loka and Bhu Loka are identical."
dead,priest,"The priest touches the dead body three or four times with his right leg, and the funeral cortège, accompanied by weird village music, proceeds to the burial-ground."
dead,priest,"In the case of temple devotees, their dead bodies must be bathed with this substance by the priest, after which alone the funeral ceremonies may proceed."
dead,priest,The priest then puts on it a ripe and tender cocoanut for the spirit of the dead man to eat and drink.
dead,mother,"The spirits of the dead are believed to appear in dreams to their old people, and to direct them to make offerings to a female deity named Bettada Chicama, that is, the mother of the hill."
dead,widow,"A gold ring is put into the hand of the corpse, and given to the widow or her relations, to be returned to the relations of the dead man."
dead,widow,The dead man and his widow exchange betel three times.
dead,widow,"The wife then throws away a ladle, and breaks a cooking-pot just as she would have done had her husband really been dead, and further breaks her bangles and tears off her necklace, just as would have been done if she was really a widow."
dead,widow,"Fatherhood is determined so essentially by this ceremony that a man who has been dead for several years is regarded as the father of any children born by his widow, if no other man has given the bow and arrow."
dead,mother,"When Sankarāchārya was refused assistance in the cremation of his dead mother by the Nambūtiri Brāhmans, he is believed to have sought in despair the help of one of these temple servants, with whose aid the corpse was divided into eight parts, and deposited in the pit."
dead,mother,"Of the same ceremony among the “Morsa-Okkala-Makkalu” of Mysore the Abbé Dubois49 says that, if the bride’s mother be dead, the bridegroom’s mother, or in default of her the mother of the nearest relative, must submit to the cruel ordeal."
dead,nephew,"The chief mourner is either the son or nephew of the dead person, and he performs the death ceremonies as directed by the priest (Chithayan), who attends wearing a new cloth, turban, and the sacred thread."
dead,widow,"Should the dead Korama be a man who has left a young widow, it is customary for some one to propose to marry her the same day, and, by so doing, to engage to carry out the principal part of the work connected with the burial."
dead,widow,"If a dead man leaves a widow in a state of pregnancy, who has not performed the kanni kattodu or marriage thread ceremony, this must be gone through before the corpse is taken to the pyre, in order to render the child legitimate."
dead,husband,"Standing near the corpse, she removed a bit of wire from her ear-rings, a lock of hair, and a palm leaf roll from the lobe of the ear, and tied them up in the cloth of her dead husband."
dead,husband,"The object of this is to restore a dead husband to life again, i.e., to secure re-union in another life."
dead,husband,"The object of this is to restore a dead husband to life again, i.e., to secure re-union in another life."
dead,husband,"A woman, who is left a widow, exchanges betel with her dead husband, and the women put rice into his mouth."
dead,husband,"At srāddhas (memorial service for the dead), the Tampurātti with her married husband alive faces the east, and one that has lost him has to look in the direction of Yamalōka (south)."
dead,husband,"This revolting ceremony concluded, and a last salutation given by the widow to her dead husband, arches of bamboo were attached to the cot, which was covered over with a coloured table-cloth hiding the corpse from sight."
dead,widow,"Widow remarriage is permitted among the Udayas, and a widow may marry a cousin, but not her dead husband’s brother."
dead,sister,"The sons of the sister of the dead person are also expected to be shaved if they are fatherless; but, if their father is alive, they are shaved on the following day."
dead,husband,"The wife then throws away a ladle, and breaks a cooking-pot just as she would have done had her husband really been dead, and further breaks her bangles and tears off her necklace, just as would have been done if she was really a widow."
dead,husband,"Having thus signified that her husband is dead to her, she goes straight off to her parents’ house, and is free to marry again."
dead,son,"The chief mourner is either the son or nephew of the dead person, and he performs the death ceremonies as directed by the priest (Chithayan), who attends wearing a new cloth, turban, and the sacred thread."
dead,mother,"The burning concluded, a portion of the skull was removed from the ashes, and handed over to the recently made mother-in-law of the dead girl, and wrapped up with the hair in the bark of the tūd tree (Meliosma pungens)."
dead,mother,"Lastly, Mr. Wigram writes as follows.79 “Polyandry may now be said to be dead, and, although the issue of a Nāyar marriage are still children of their mother rather than of their father, marriage may be defined as a contract based on mutual consent, and dissoluble at will."
dead,husband,"The moment that a divorcée marries another man, her former husband pounces upon him, shoots his buffalo or pig dead with an arrow, and takes it to his village, where its flesh is served up at a feast."
dead,husband,"Widow remarriage is permitted among the Udayas, and a widow may marry a cousin, but not her dead husband’s brother."
dead,mother,"The mother of the dead child then withdrew one of its hands from the putkūli, and the boy placed the grass and twig in the hand, and limes, plantains, rice, jaggery, honey-comb, and butter in the pocket of the putkūli, which was then stitched with needle and thread in a circular pattern."
dead,father,"A small boy, three years old, was selected from among the relatives of the dead girl, and taken by his father in search of a certain grass (Andropogon Schœnanthus) and a twig of a shrub (Sophora glauca), which were brought to the spot where the corpse was lying."
dead,brother,"He readily went inside, and showed what he kept there for the use of his dead brother’s Kulba."
dead,astrologer,"Should the spirit of the dead disturb the dreams of the relatives, a hut for it is built under an astrologer’s directions close to the house, and in this lights are lit morning and evening, and periodical offerings of food are made."
dead,widow,"The dead are cremated, and, when a married man dies, his corpse is carried on a palanquin to the burning-ground, followed by the widow."
dead,son,"It was noted by Harkness that, at the burning-ground, the son or representative of the deceased dropped a little grain into the mouth of the corpse, carrying in his left hand a small bar of iron, which is supposed to have a repulsive power over the spirits that hover about the dead.  "
dead,son,"The dead person’s son throws rice and Zizyphus leaves into the air, and calls on the deceased to come and give a blessing on the following day."
dead,brother,"Widow remarriage is permitted among the Udayas, and a widow may marry a cousin, but not her dead husband’s brother."
dead,widow,"A woman, who is left a widow, exchanges betel with her dead husband, and the women put rice into his mouth."
dead,brother,"A young woman’s husband was dead, and his younger brother was almost of an age to take her to wife."
dead,son,"On this, Janagamayya, the son of Peddi Rāju, who escaped the general slaughter, made up his mind to go to Kāsi (Benares), and offer oblations to his dead father and uncles."
dead,infant,"At Adoni the dead body of a new-born infant was found in a ditch, and a Basavi, working with others in a cotton factory, was suspected of foul play."
dead,infant,"They employ Brāhmans as priests, practice infant marriage, and prohibit widow marriage, usually burn their dead, and decline to eat in the houses of any caste below Brāhmans."
dead,son,"The dead man’s son receives a measure containing a light from a barber, and goes three times round the corpse."
dead,widow,"The dead are cremated, and the widow breaks one or two of her bangles."
dead,son,"This ceremony over, they tendered their allegiance to the young son of the dead Pātro, permitted by Government to take his place, and each man received from him an earthen cooking-pot, and each circle of villages a buffalo."
dead,son,"In connection with the Toda legend of Ön, who created the buffaloes and the Todas, Dr. Rivers writes that “when Ön saw that his son was in Amnodr (the world of the dead), he did not like to leave him there alone, and decided to go away to the same place."
dead,son,"Amid much joking, and speech-making by the veterans, it was decided that, as the eldest son of the deceased woman was dead, leaving a widow, this daughter-in-law should be united to the second son, and that they should live together as man and wife."
dead,father,"Fatherhood is determined so essentially by this ceremony that a man who has been dead for several years is regarded as the father of any children born by his widow, if no other man has given the bow and arrow."
dead,mourner,"Among the Ullādans, the nephew is the chief mourner, for he usually succeeds to the property of the dead, and proves his right of ownership by acting as the chief mourner."
dead,father,"On this, Janagamayya, the son of Peddi Rāju, who escaped the general slaughter, made up his mind to go to Kāsi (Benares), and offer oblations to his dead father and uncles."
dead,widow,"Amid much joking, and speech-making by the veterans, it was decided that, as the eldest son of the deceased woman was dead, leaving a widow, this daughter-in-law should be united to the second son, and that they should live together as man and wife."
dead,bridegroom,"Of the same ceremony among the “Morsa-Okkala-Makkalu” of Mysore the Abbé Dubois49 says that, if the bride’s mother be dead, the bridegroom’s mother, or in default of her the mother of the nearest relative, must submit to the cruel ordeal."
dead,writer,"According to a writer who once witnessed such a proceeding, the dead body of the man was placed against the outer wall of the verandah of the house in a sitting posture, attired like a bridegroom, and the face and hands besmeared with turmeric."
dead,driver,"The driver, stripping himself to the necessary minimum of garments, mounts, while some of his friends cling, like ants struggling round a dead beetle, to the buffaloes."
dead,owner,"The owner of a victorious bird becomes the possessor of the vanquished bird, dead or alive."
dead,bride,"Of the same ceremony among the “Morsa-Okkala-Makkalu” of Mysore the Abbé Dubois49 says that, if the bride’s mother be dead, the bridegroom’s mother, or in default of her the mother of the nearest relative, must submit to the cruel ordeal."
dead,chief,"The chief mourner offers these to the dead person, and makes a bundle of them in his cloth."
dead,chief,"As the dead body is taken to the burial ground, the chief mourner, wearing the ornaments above mentioned, goes behind it."
dead,child,"If a dead man leaves a widow in a state of pregnancy, who has not performed the kanni kattodu or marriage thread ceremony, this must be gone through before the corpse is taken to the pyre, in order to render the child legitimate."
dead,chief,"The dead are usually cremated, and the washerman of the village assists the chief mourner in igniting the pyre."
dead,informant,"But what I think proves strongly that the Holia was the first to take possession of the soil is that the Kulwādi receives, and is entitled to receive, from the friends of any person who dies in the village, a certain fee or as my informant forcibly put it, ‘They buy from him the ground for the dead.’"
dead,child,"Should the spot be visited during the night by a pack of jackals, and the water drunk by them to slake their thirst after feasting on the dead Korama, the omen is accepted as proof that the liberated spirit has fled away to the realms of the dead, and will never trouble man, woman, child, or cattle."
dead,landlord,"When a member of the caste breathes his last, the landlord gives a spade to dig the grave, an axe or knife for cutting wood to serve as fuel if the corpse is to be burned, a piece of cloth for covering the dead body, and also some paddy and millet to meet the funeral expenses."
dead,child,"The Vellalars generally bury their dead, except in cases where a woman quick with child, or a man afflicted with leprosy has died, the bodies in these cases being burnt."
dead,thief,"An old Kōmati observed a thief at dead of night lurking under a pomegranate tree, and cried out to his wife to bring him a low stool."
dead,slave,"“It may,” Mr. Walhouse writes, “be noted that the Koragars alone of all the slave or other castes eat the flesh of alligators (crocodiles), and they share with one or two other divisions of the slaves a curious scruple or prejudice against carrying any four-legged animal, dead or alive."
dead,thief,"A thief, while in the act of stealing, may be shot dead."
dead,wife,"An old Kōmati observed a thief at dead of night lurking under a pomegranate tree, and cried out to his wife to bring him a low stool."
dead,bridegroom,"According to a writer who once witnessed such a proceeding, the dead body of the man was placed against the outer wall of the verandah of the house in a sitting posture, attired like a bridegroom, and the face and hands besmeared with turmeric."
dead,wife,"Then he turned round to offer, as usual, the prasadam to his wife forgetting that she was dead, and he was surprised to see her standing before him, receiving his offering (prasadam), in flesh and blood."
dead,guru,"Concerning a form of marriage between the living and the dead, performed by members of this caste if a man and woman have been living together, and the man dies, Mr. Hutchinson writes as follows.146 “The sad intelligence of her man’s death is communicated to her neighbours, a guru or priest is summoned, and the ceremony takes place."
dead,goddess,"Some families of Kuruba Dāsaris reverence a goddess called Hombālamma, who is worshipped secretly by a pūjāri (priest) at dead of night."
dead,barber,"The dead man’s son receives a measure containing a light from a barber, and goes three times round the corpse."
dead,washerman,"The dead are usually cremated, and the washerman of the village assists the chief mourner in igniting the pyre."
dead,chief,"After the cremation or burial of a corpse, a rope is held by two of the relations between the dead person’s remains and the karta (chief mourner), and cut in two, as if to indicate that all connection between the karta and the deceased has ceased."
dead,sorcerer,"A sorcerer is called on to raise the dead from the grave, and, at his instance, a kuryala or small thatched shed is erected, to provide a sanctum for the resurrected spirit."
dead,washerman,"The dead are cremated, and a man of the washerman caste usually assists in igniting the pyre."
dead,friend,"While he was explaining a portion of the Mahābhārata with inimitable theatrical effect, a desperate friend of the Pāndavas rose from his seat in a fit of uncontrollable passion, and actually knocked the Chākkiyar dead when, in an attitude of unmistakable though assumed heartlessness, he, as personating Duryōdhana, inhumanely refused to allow even a pin-point of ground to his exiled cousins."
dead,nomad,"The nomad Koravas are said by Dr. Pope to bury their dead at night, no one knows where."
dead,chief,"Some boiled rice, paddy, and pieces of cocoanut, are placed on a plantain leaf, and the chief mourner, with the members of his family, calls on the spirit of the dead to take them."
dead,elder,"Very impressive is the recitation, or after-death confession of a dead man’s sins by an elder of the tribe standing at the head of the corpse, and rapidly chanting the following lines, or a variation thereof, while he waves his right hand during each line towards the feet."
dead,elder,An elder then proceeds with the recitation of the dead person’s sins.
dead,patient,"According as the taste of the kanji turns to that of a corpse, or remains unaltered, the death or recovery of the patient is foretold in their deep and loud voices.47 The Nāyādis either burn or bury their dead."
dead,elder,"Very often, at this stage, all the women present set up a loud lamentation, and repeat the death songs.92 If the dead person was a respected elder, special professional women, trained as mourners, are engaged."
dead,elder,"Next the elder drives a pole into the spot where the chest of the dead person would be, and it is said that the pole must touch the chest."
dead,elder,"If the dead person was an elder, his personal effects, such as pillows, walking-stick, and clothes, are buried with him, or his corpse is cremated."
dead,bearer,"The sins of the dead man were transferred to another as sin-bearer, and finally passed away down the lane."
dead,tailor,"The dead are buried in a sitting posture, with the legs crossed tailor-wise."
dead,carpenter,"The dead man was a venerable carpenter, of high position in the community."
dead,blacksmith,"Supported by females, the exhausted widow of the dead man was dragged up to the corpse, and, lying back beside it, had to submit to the ordeal of removal of all her jewellery, the heavy brass bangle being hammered off the wrist, supported on a wooden roller, by oft-repeated blows with mallet and chisel delivered by a village blacksmith assisted by a besotten individual noted as a consumer of twelve grains of opium daily."
dead,chief,"Among the Ullādans, the nephew is the chief mourner, for he usually succeeds to the property of the dead, and proves his right of ownership by acting as the chief mourner."
dead,bride,"Thus covered, the boy remained outside the hut till the morning of the morrow, watched through the night by near relatives of himself and his dead bride.  "
dead,wife,"The wife then throws away a ladle, and breaks a cooking-pot just as she would have done had her husband really been dead, and further breaks her bangles and tears off her necklace, just as would have been done if she was really a widow."
dead,guardian,"The guardian bathes, and performs all the funeral ceremonies for his ward, who from this moment is considered dead for all social and family purposes."
dead,child,"Meanwhile a near female relative of the dead child was busily engaged inside the hut, collecting together in a basket small measures of rice, jaggery, sago, honey-comb, and the girl’s simple toys, which were subsequently to be burned with the corpse."
dead,mourner,"Some boiled rice, paddy, and pieces of cocoanut, are placed on a plantain leaf, and the chief mourner, with the members of his family, calls on the spirit of the dead to take them."
dead,child,"The mother of the dead child then withdrew one of its hands from the putkūli, and the boy placed the grass and twig in the hand, and limes, plantains, rice, jaggery, honey-comb, and butter in the pocket of the putkūli, which was then stitched with needle and thread in a circular pattern."
dead,king,"His aim was so good that the crow fell dead at once, but the force of the blow was so great that one of the wings was driven as far south as the present village of Rekapalli (wing village), its back fell down on the spot now occupied by Nadampalli (loin or back village), its legs at Kālsāram (leg village), and its head at Tirusapuram (head village), whilst the remainder fell into the cart, and was carried into the presence of the king."
dead,adult,"Vaishnavite Reddis burn their adult dead, while the Saivites bury them."
dead,father,"The sons of the sister of the dead person are also expected to be shaved if they are fatherless; but, if their father is alive, they are shaved on the following day."
